Bot1,Bot2,Bot3,Bot4,Bot5,fBlood,fT,fD,fB,TK,DK,BK,Win
163,15,92,43,60,0,1,0,1,4,2,1,yes
76,45,78,223,22,0,0,0,0,0,0,0,no
39,8,79,67,412,1,1,1,1,11,2,2,yes
43,518,12,421,145,0,0,1,0,3,1,0,no
67,201,163,8,60,1,1,0,1,8,1,1,yes
91,79,8,412,119,0,1,1,0,5,2,0,yes
25,68,51,84,10,1,0,0,0,0,0,0,no
145,59,84,58,3,1,0,0,0,0,0,0,no
266,421,163,67,12,0,1,1,0,5,2,0,yes
164,145,12,517,13,1,1,0,1,2,0,1,no
555,254,163,67,92,0,0,1,0,8,3,0,yes
117,78,33,84,236,1,0,1,0,5,2,0,no
429,3,13,518,421,0,1,0,1,5,0,1,yes
78,145,30,60,412,1,1,0,0,5,1,0,no
16,67,84,203,518,0,0,1,1,9,2,1,yes
84,157,3,60,67,1,1,1,1,3,1,1,yes
42,201,161,64,6,0,0,0,0,1,1,0,no
78,245,76,429,412,1,1,1,0,2,1,0,no
145,30,122,161,111,0,0,0,0,8,2,0,yes
517,429,2,8,12,0,1,1,1,5,2,1,yes
145,79,67,84,59,1,0,0,0,1,0,0,no
134,30,236,201,24,0,0,0,0,0,0,0,no
10,3,64,429,84,1,1,1,0,5,3,0,yes
12,90,421,13,236,1,1,1,0,4,2,0,no
10,145,84,412,203,0,0,0,1,5,1,1,yes
421,9,518,163,126,1,0,0,0,4,1,0,no
2,64,84,37,145,0,1,1,1,7,2,1,yes
421,8,163,81,3,1,1,1,1,10,3,1,yes
22,69,114,9,24,0,0,0,0,2,0,1,no
163,67,60,16,6,0,1,1,0,3,2,0,yes
412,18,127,120,64,1,0,0,0,0,0,0,no
145,421,92,25,53,1,1,1,1,6,3,1,yes
16,67,59,10,517,0,0,0,0,1,0,0,no
161,67,91,120,60,0,0,1,0,1,1,0,no
84,145,16,107,427,1,1,0,0,3,0,0,yes
67,31,517,12,64,1,0,0,0,1,0,0,no
6,24,163,3,21,0,1,1,0,10,2,0,yes
89,145,126,8,60,1,1,0,1,7,2,1,yes
9,84,64,67,54,0,0,1,0,1,1,0,no
145,79,64,39,157,1,0,1,0,1,3,0,no
92,12,60,67,103,0,1,0,1,6,1,1,yes
30,67,25,518,120,0,0,1,0,0,1,0,no
76,16,39,202,107,1,1,0,1,11,3,1,yes
84,64,79,236,112,1,0,0,0,0,0,0,no
8,412,157,429,120,0,1,1,0,7,1,0,yes
83,145,64,25,517,1,1,0,1,10,3,1,yes
13,203,429,163,412,0,0,1,0,2,1,0,no
25,84,126,30,518,1,1,1,1,5,2,1,yes
8,92,76,96,43,0,0,0,0,1,1,0,no
145,58,421,43,120,1,1,1,1,7,3,1,yes
10,51,6,25,91,0,0,0,0,0,0,0,no
91,421,145,10,3,1,1,0,1,9,3,2,yes
163,126,81,56,432,0,0,1,0,1,1,0,no
55,203,92,145,412,1,1,0,0,3,0,0,yes
517,266,12,81,421,0,0,1,0,0,1,0,no
64,120,84,12,15,0,0,1,1,11,2,1,yes
81,42,25,30,92,1,1,0,0,3,2,1,no
555,163,421,58,236,0,1,0,0,3,1,0,yes
39,3,429,8,64,1,0,1,0,0,1,0,no
517,133,421,81,43,0,1,1,0,2,2,0,no
41,163,60,67,25,1,0,0,1,8,2,2,yes
517,238,3,141,67,0,0,0,0,0,0,0,no
120,59,429,12,163,1,1,1,0,2,2,0,yes
67,2,5,14,412,0,0,1,0,1,1,0,no
429,9,163,64,24,1,1,0,0,4,1,0,yes
126,497,163,67,266,1,1,1,0,8,1,0,yes
61,145,3,2,421,0,0,0,0,0,0,0,no
113,39,25,84,498,0,0,1,0,2,1,0,no
76,24,117,163,236,1,1,0,1,8,1,1,yes
96,117,163,13,59,1,1,1,0,7,2,0,yes
236,421,412,91,84,0,0,0,0,1,0,0,no
6,163,10,145,25,0,0,0,1,9,1,2,yes
133,421,12,84,498,1,1,1,0,6,2,0,no
145,13,79,25,157,0,1,1,1,9,2,1,yes
67,223,517,30,86,1,0,0,0,3,1,0,no
84,412,518,107,427,0,0,0,0,1,0,0,no
12,163,67,64,80,1,1,1,1,9,4,1,yes
39,145,3,42,203,1,0,0,0,1,0,0,no
84,40,64,222,126,0,1,1,1,5,1,1,yes
81,517,16,421,10,0,0,0,0,2,0,0,no
266,13,2,25,51,1,1,1,1,11,4,3,yes
203,91,412,236,85,1,0,1,0,1,1,0,no
266,79,3,110,13,0,1,0,0,8,0,0,yes
96,98,121,25,517,1,1,1,0,3,2,0,yes
24,13,79,67,64,0,0,0,0,0,0,0,no
67,412,107,427,517,0,1,0,1,7,2,2,yes
127,5,145,120,25,1,0,1,0,6,1,0,no
39,412,79,163,145,0,0,0,0,0,0,0,no
64,517,126,81,223,1,1,1,0,2,1,0,yes
13,163,120,79,421,0,0,1,1,8,2,2,yes
84,145,3,6,127,1,1,0,0,5,2,0,no
163,421,412,58,110,0,1,1,0,8,1,0,yes
126,67,12,517,2,1,0,0,0,0,0,0,no
498,497,60,24,111,0,0,1,0,3,1,0,no
145,412,126,518,163,1,1,0,1,10,2,1,yes
86,117,203,518,3,0,0,1,0,1,1,0,no
24,421,236,412,163,1,1,0,1,7,1,1,yes
39,64,84,412,145,0,0,0,0,0,0,0,no
117,59,41,25,81,1,1,1,0,9,2,0,yes
223,126,81,30,84,0,0,0,0,1,0,0,no
412,39,203,142,145,1,1,1,1,5,2,1,yes
114,142,429,421,412,0,1,1,0,9,3,0,yes
67,117,164,163,203,1,0,0,0,1,0,0,no
110,39,203,101,84,0,1,1,1,10,1,1,yes
34,119,25,517,64,1,0,0,0,1,0,0,no
517,14,203,60,127,0,0,0,0,1,0,0,no
39,79,15,157,163,1,1,1,1,8,2,1,yes
498,12,80,517,64,0,1,1,0,7,1,0,yes
85,145,163,3,5,1,0,0,0,0,1,0,no
74,236,555,133,203,0,0,1,1,8,1,1,yes
127,67,58,421,201,1,1,0,0,3,2,0,no
60,222,55,39,3,0,1,1,0,8,2,0,yes
67,127,78,99,6,1,0,0,0,2,0,0,no
517,127,59,12,202,0,1,0,0,2,0,0,no
145,201,421,142,24,1,0,1,0,5,1,0,yes
236,157,89,20,98,1,0,0,0,0,0,0,no
10,59,81,16,517,0,1,1,0,11,2,0,yes
518,6,161,150,3,0,0,0,0,1,0,0,no
43,20,236,120,517,1,1,1,0,4,3,0,yes
127,39,6,145,3,0,1,0,0,4,0,0,no
163,10,201,59,119,1,0,1,1,9,3,1,yes
24,145,141,412,127,0,1,0,0,3,2,0,no
421,201,67,85,39,1,0,1,1,8,1,1,yes
412,119,39,127,60,1,1,0,1,9,1,1,yes
516,518,25,84,64,0,0,1,0,0,2,0,no
12,13,59,84,67,1,1,1,1,7,3,1,yes
517,60,236,120,555,0,0,0,0,2,0,0,no
517,64,126,81,16,1,1,1,0,8,2,0,yes
26,145,6,25,24,0,0,0,0,0,0,0,no
3,236,30,121,85,1,1,1,0,6,2,0,yes
163,67,24,201,64,0,0,0,0,0,1,0,no
120,55,421,26,81,1,0,1,0,4,3,0,no
164,127,12,145,79,0,1,0,1,8,1,1,yes
154,67,127,85,64,1,1,0,0,1,0,0,no
84,236,555,59,92,0,0,1,1,11,2,1,yes
22,126,79,134,40,1,0,0,1,8,1,2,yes
145,39,13,201,203,0,1,1,0,4,2,0,no
67,58,16,517,59,0,0,0,0,0,0,0,no
163,64,429,39,111,1,1,1,0,7,1,0,yes
84,126,421,16,236,1,1,0,0,6,0,0,yes
91,78,25,145,79,0,0,0,0,0,0,0,no
67,60,84,99,266,0,1,0,0,3,0,0,no
429,161,6,10,39,1,0,1,1,8,4,1,yes
10,64,142,236,555,1,1,1,0,9,4,0,yes
517,126,203,145,16,0,0,0,1,3,0,1,no
103,67,92,201,59,1,1,1,1,7,2,1,yes
3,58,56,127,498,0,0,0,0,3,0,0,no
203,67,84,24,25,1,0,1,0,4,4,0,no
120,127,117,421,145,0,1,0,1,9,0,2,yes
41,518,203,103,555,0,1,0,0,3,0,0,no
497,498,421,54,84,1,0,1,1,11,4,1,yes
145,421,223,2,38,0,1,0,1,9,2,1,no
412,84,203,58,67,1,0,1,0,8,3,2,yes
16,13,421,122,67,1,1,1,0,6,1,0,yes
111,517,113,157,81,0,0,0,0,0,0,0,no
126,517,113,3,145,1,0,0,0,0,0,0,yes
201,67,141,6,163,0,0,0,0,0,0,0,no
126,15,142,64,3,0,1,1,1,8,3,1,yes
412,145,56,13,39,1,0,0,0,2,0,0,no
64,236,555,517,84,0,1,0,0,5,2,0,yes
13,3,127,2,145,1,0,1,0,1,1,0,no
223,30,84,64,6,0,0,0,0,2,0,0,no
91,76,83,89,429,1,1,1,1,11,4,2,yes
24,4,223,6,145,0,0,0,0,0,0,0,no
12,517,64,15,78,1,1,1,0,1,1,0,yes
67,18,134,64,412,0,0,0,0,0,0,0,no
145,76,39,517,43,1,1,1,0,8,2,0,yes
145,122,8,555,203,0,1,1,0,8,3,0,yes
67,58,16,163,421,1,0,0,0,0,0,0,no
114,39,82,89,30,1,1,1,0,7,1,0,yes
142,64,236,117,8,0,0,0,0,0,0,0,no
412,163,13,15,5,0,0,0,0,0,0,0,no
85,145,223,64,39,1,1,1,0,3,1,0,yes
122,30,3,157,145,1,0,1,0,0,1,0,no
6,25,421,163,84,0,1,0,1,9,2,1,yes
8,145,12,6,421,0,0,0,0,4,0,0,no
163,107,164,67,201,1,1,1,1,10,2,2,yes
236,9,163,133,60,0,1,0,1,9,1,1,yes
61,3,67,157,421,1,0,1,0,2,1,0,no
67,201,79,157,126,1,0,0,0,0,0,0,no
16,3,18,266,64,0,1,1,0,10,2,0,yes
236,157,201,30,79,1,0,1,1,2,1,1,no
412,39,81,92,60,0,1,0,0,11,4,0,yes
64,39,84,81,16,1,0,1,0,11,3,1,yes
13,6,3,518,4,0,1,0,1,1,1,1,no
41,64,9,163,236,1,1,1,1,11,4,2,yes
145,517,254,432,127,0,0,0,0,5,1,1,no
201,145,13,421,39,1,1,1,1,9,3,1,yes
67,555,203,266,517,0,0,0,0,3,0,0,no
25,145,268,421,58,1,1,0,1,8,1,1,yes
60,517,555,81,92,0,0,1,0,3,1,0,no
39,223,266,111,96,0,1,1,0,9,2,0,yes
145,84,23,163,120,1,0,0,1,0,0,1,no
114,163,81,412,203,1,1,1,0,4,1,0,yes
6,517,145,157,12,0,0,0,0,0,1,0,no
28,91,10,412,145,0,1,0,1,8,0,1,yes
133,163,429,25,59,1,0,1,0,6,3,0,no
13,18,517,9,421,1,1,1,1,9,2,1,yes
81,25,67,39,79,0,0,0,0,2,0,0,no
117,6,517,5,498,1,0,0,0,0,0,0,no
421,136,12,429,133,0,1,1,0,3,2,0,yes
67,412,30,163,39,1,0,0,0,0,0,0,no
429,3,517,121,420,0,1,1,1,9,3,1,yes
15,421,497,68,157,0,0,0,0,0,0,0,no
84,203,412,58,145,1,1,1,0,4,2,0,yes
25,126,67,517,79,1,0,0,0,0,0,0,no
92,412,518,64,39,0,1,1,0,5,2,0,yes
39,84,201,236,64,1,1,1,0,5,2,0,no
59,13,3,145,157,0,0,0,1,7,2,1,yes
92,79,517,3,67,0,0,0,0,0,0,0,no
22,64,39,122,412,1,1,1,0,10,1,0,yes
39,145,79,432,157,0,1,0,0,4,0,0,yes
64,8,412,498,91,1,0,1,0,1,2,0,no
41,150,60,236,12,0,0,1,1,10,1,1,yes
421,497,498,126,39,1,1,0,0,1,0,0,no
63,120,5,163,145,1,0,0,0,3,0,0,no
81,64,518,134,9,0,1,1,1,10,2,2,yes
79,13,421,134,21,0,0,0,1,4,0,1,no
92,12,517,112,113,1,1,1,0,8,2,0,yes
238,412,6,236,13,1,1,1,1,8,2,1,yes
67,421,2,99,163,0,0,0,0,0,0,0,no
92,117,105,236,28,0,0,0,0,1,0,0,no
13,266,64,110,25,1,1,1,1,9,4,1,yes
64,92,163,119,12,1,0,1,1,10,3,2,yes
236,30,555,81,238,0,1,0,0,6,1,0,no
84,421,117,145,91,0,0,1,0,0,1,0,no
518,16,39,79,163,1,1,0,0,2,0,0,yes
60,117,145,58,39,0,1,0,0,2,0,0,no
13,67,517,89,6,1,0,1,0,4,3,0,yes
23,201,142,421,67,1,1,0,0,4,0,0,no
163,126,432,429,64,0,0,1,1,9,4,1,yes
429,56,3,13,76,1,1,1,0,6,3,0,yes
67,6,64,412,517,0,0,0,0,1,0,0,no
42,40,236,60,58,1,1,0,0,3,2,0,no
64,163,39,67,111,0,0,1,1,8,1,1,yes
64,119,412,134,13,0,0,0,1,3,1,1,yes
266,517,20,3,236,1,1,1,0,3,2,0,no
84,119,266,41,412,1,0,0,0,1,0,0,no
64,142,98,145,58,0,1,1,0,7,1,0,yes
163,126,429,53,421,1,1,1,1,9,2,1,yes
8,13,59,145,40,0,0,0,0,0,0,0,no
39,5,85,236,267,0,0,0,1,9,2,1,yes
3,119,59,24,163,1,1,1,0,4,1,0,no
14,163,16,236,64,0,0,1,0,2,1,1,yes
201,145,126,517,60,1,1,0,1,6,3,1,no
163,498,497,203,84,1,1,1,0,3,1,0,yes
68,26,39,121,145,0,0,0,0,0,0,0,no
203,497,127,13,498,0,0,0,0,0,0,0,no
5,163,145,12,517,1,1,1,0,5,1,0,yes
64,8,555,145,126,1,0,0,0,0,0,0,no
13,517,121,119,412,0,1,1,0,3,1,0,yes
8,517,84,421,81,0,0,0,0,0,0,0,no
85,157,79,18,3,1,1,0,0,9,0,0,yes
119,39,267,76,517,1,1,1,1,11,3,1,yes
24,53,64,236,38,0,0,0,0,1,0,0,no
163,9,236,8,421,0,1,1,1,6,2,1,yes
412,517,39,429,127,1,0,0,0,1,0,0,no
126,67,64,42,201,0,0,0,0,0,0,0,no
236,117,59,92,517,1,1,1,1,9,4,1,yes
16,24,92,142,15,1,0,0,0,0,0,0,no
412,64,13,163,145,0,0,0,0,0,0,0,yes
126,64,517,429,16,1,1,1,0,2,2,0,yes
127,498,12,28,59,0,0,0,0,0,0,0,no
240,163,111,64,429,1,1,1,0,7,1,0,yes
20,99,145,157,83,0,0,0,0,0,0,0,no
201,60,157,119,30,1,1,0,1,10,1,2,yes
238,26,67,20,517,0,0,1,0,5,3,0,no
104,236,78,163,3,1,1,1,0,4,3,0,yes
67,84,126,79,64,0,0,0,0,1,0,0,no
120,145,111,163,107,1,0,0,1,9,3,1,yes
2,39,420,82,89,0,1,1,0,4,1,0,no
10,145,203,39,3,0,1,1,0,4,1,0,no
163,421,30,12,81,1,0,0,1,10,4,2,yes
223,22,126,127,64,0,0,1,1,11,3,2,yes
83,222,157,79,3,1,1,0,0,5,1,0,no
91,30,9,34,81,0,1,0,0,3,1,0,yes
39,76,79,236,78,1,0,1,0,1,1,0,no
64,517,79,236,266,1,1,1,1,4,1,1,no
58,163,3,81,157,0,0,0,0,11,4,0,yes
517,59,163,412,67,1,0,0,0,9,1,1,yes
79,145,126,157,12,0,1,1,1,6,3,2,no
3,64,39,84,67,0,0,1,0,2,1,0,no
145,12,157,266,79,1,1,0,1,9,1,1,yes
127,145,3,13,64,1,1,0,0,8,0,0,yes
10,5,163,429,91,0,0,0,0,0,0,0,no
64,517,67,3,13,1,1,1,0,8,2,0,yes
56,236,201,240,518,0,0,0,0,1,0,0,no
432,203,518,517,25,1,0,0,0,0,0,0,no
240,421,429,16,30,0,1,1,0,8,2,0,yes
92,145,25,80,163,1,1,1,0,7,1,0,yes
103,26,67,24,58,0,0,0,0,0,0,0,no
64,145,85,39,3,0,0,0,0,2,1,0,no
121,53,55,81,24,1,1,1,0,5,1,0,yes
3,18,157,8,164,0,0,0,0,2,0,0,no
64,134,85,236,12,1,1,1,0,4,2,0,yes
121,236,84,142,40,1,1,1,1,6,3,2,no
157,14,30,67,497,0,0,0,0,9,2,0,yes
41,157,82,89,20,0,1,1,0,3,2,0,yes
92,236,12,64,517,1,0,0,0,0,1,0,no
60,142,119,201,92,1,0,0,0,1,0,0,no
39,517,163,110,3,0,1,1,1,9,1,1,yes
412,429,126,59,142,1,1,1,1,9,3,1,yes
127,22,164,163,223,0,0,0,0,3,0,0,no
21,81,39,76,126,0,1,1,0,5,1,0,no
60,412,429,84,107,1,0,0,1,5,3,1,yes
13,266,84,81,201,0,0,0,0,1,1,0,no
412,236,421,39,79,1,1,1,1,8,2,1,yes
15,92,201,517,266,0,0,0,0,3,1,0,no
203,13,39,67,3,1,1,1,1,8,2,1,yes
163,3,79,126,39,0,1,0,0,2,0,0,no
164,421,142,81,223,1,0,1,0,4,3,0,yes
12,58,145,127,64,0,0,1,0,0,1,0,no
13,421,79,266,157,1,1,0,0,2,1,0,yes
236,64,127,3,41,1,1,0,0,7,0,0,yes
121,12,39,240,18,0,0,0,0,0,0,0,no
85,497,498,91,5,1,0,0,0,0,0,0,no
22,9,517,13,64,0,1,1,1,10,2,1,yes
8,421,13,12,145,0,0,0,0,1,1,0,no
126,67,121,79,517,1,1,1,1,9,2,1,yes
157,79,3,145,78,1,0,0,0,3,0,0,no
67,201,8,126,421,0,1,1,0,6,2,0,yes
421,25,67,78,157,0,0,0,0,3,0,0,no
24,145,64,12,142,1,1,1,1,6,2,1,yes
8,84,28,236,9,0,0,1,0,3,2,0,no
517,126,112,223,266,1,1,0,1,10,1,1,yes
127,64,518,98,126,1,1,0,0,4,1,0,no
8,421,236,201,266,0,0,1,1,5,2,1,yes
164,429,59,13,9,1,1,0,0,3,0,0,no
79,39,145,5,8,0,0,1,1,5,3,1,yes
518,91,60,58,9,0,0,0,0,0,0,0,no
126,12,127,145,64,1,1,1,0,6,1,0,yes
142,236,39,76,3,0,0,0,0,0,0,0,no
56,25,517,145,85,1,1,1,0,1,1,0,yes
266,236,16,60,24,1,0,0,0,0,0,0,no
78,81,163,517,201,0,1,0,0,6,0,0,yes
92,5,127,81,518,1,0,0,0,1,0,0,no
60,96,78,9,39,0,1,1,0,6,1,0,yes
145,59,142,12,163,0,1,1,0,6,2,0,yes
8,3,64,84,236,1,0,0,0,1,0,0,no
10,201,236,39,126,1,1,1,0,4,2,0,no
25,84,67,76,58,0,0,0,1,7,1,1,yes
79,3,145,41,266,1,0,0,0,0,0,0,no
201,84,64,39,67,0,1,1,0,10,2,0,yes
127,60,518,201,83,0,0,0,0,0,0,0,no
25,84,145,163,133,1,1,1,0,6,1,0,yes
3,126,142,67,20,1,1,1,0,7,2,0,yes
39,2,429,201,84,0,0,0,0,0,0,0,no
67,517,25,27,64,1,1,1,1,11,1,1,yes
13,104,39,201,236,0,0,0,0,2,0,0,no
113,39,517,201,81,0,1,0,0,5,2,0,yes
3,157,84,64,112,1,0,1,0,1,1,0,no
201,127,64,10,22,0,0,1,0,4,1,0,no
8,12,59,126,429,1,1,0,1,8,3,1,yes
145,127,24,64,12,0,1,0,1,9,2,1,no
236,39,201,8,59,1,0,1,0,9,3,2,yes
81,39,59,8,432,0,0,0,0,3,0,0,no
157,516,12,64,22,1,1,1,1,5,3,1,yes
517,201,67,80,64,1,1,0,0,4,0,0,yes
104,61,43,81,39,0,0,1,0,3,2,0,no
41,555,421,517,81,0,0,0,0,1,0,0,no
266,16,60,145,58,1,1,1,1,10,3,1,yes
22,24,412,28,91,0,0,0,0,1,0,0,no
421,84,164,429,12,1,1,1,0,9,2,0,yes
8,1,429,64,12,0,0,0,0,1,1,0,no
39,60,98,81,126,1,1,1,1,9,2,1,yes
266,81,40,421,38,1,0,0,1,10,2,2,yes
15,64,157,150,3,0,1,1,0,5,2,0,no
157,79,145,85,497,1,0,0,0,0,0,0,no
89,517,56,81,58,0,1,1,0,11,2,0,yes
236,157,23,20,432,0,1,1,0,4,2,0,yes
126,412,145,60,164,1,0,0,0,0,0,0,no
39,79,164,145,67,1,0,0,1,6,2,1,yes
429,3,24,5,84,0,1,1,0,4,1,0,no
84,126,3,64,429,1,0,0,0,1,0,0,no
127,203,39,142,236,0,1,1,1,7,2,1,yes
421,518,33,497,39,1,1,0,1,9,2,1,yes
142,59,236,58,412,0,0,1,0,3,3,0,no
107,157,163,12,145,0,1,0,0,3,0,0,yes
236,58,201,103,254,1,0,0,0,1,0,0,no
126,142,145,412,421,1,0,1,0,2,2,0,no
64,8,157,26,112,0,1,0,1,4,1,1,yes
421,84,8,12,145,0,0,1,0,2,1,0,no
79,25,236,518,39,1,1,0,0,8,2,0,yes
157,13,92,3,42,1,1,1,1,7,2,1,yes
112,12,81,39,28,0,0,0,0,4,0,0,no
22,40,58,127,421,1,1,0,1,10,1,1,yes
203,67,39,432,85,0,0,1,0,1,2,0,no
497,21,58,517,59,1,0,1,0,2,2,0,no
39,201,113,81,84,0,1,0,1,4,0,1,yes
26,75,421,555,145,0,0,0,0,1,0,0,no
201,76,126,236,39,1,1,1,1,11,2,1,yes
223,517,59,85,81,1,1,1,0,5,1,0,yes
203,142,126,145,3,0,0,0,0,1,1,0,no
7,76,126,25,145,1,1,0,0,2,0,0,no
127,64,3,39,18,0,0,1,1,9,3,1,yes
64,84,43,4,81,1,0,0,1,5,0,1,yes
15,266,59,517,25,0,1,1,0,3,3,0,no
266,157,3,39,13,1,1,0,0,7,0,0,yes
8,9,67,145,421,0,0,0,0,0,0,0,no
412,112,429,266,126,0,0,0,0,1,0,0,no
12,59,142,64,145,1,1,1,0,3,2,0,yes
85,81,79,12,126,0,0,0,0,1,0,0,no
145,421,13,157,25,1,1,1,0,10,2,0,yes
28,84,96,58,412,0,1,0,0,1,1,0,no
39,122,89,119,163,1,0,1,1,9,3,2,yes
163,107,81,238,12,1,0,1,0,3,1,0,no
122,145,113,157,412,0,1,0,1,11,3,1,yes
64,43,157,67,83,1,1,1,0,8,2,0,no
238,5,517,429,412,0,0,0,1,8,1,1,yes
12,266,517,23,236,1,0,0,0,0,0,0,no
3,67,142,24,421,0,1,1,0,1,1,0,yes
92,79,12,39,518,1,0,0,0,4,0,1,no
69,432,58,421,112,0,1,1,1,9,4,1,yes
127,236,126,28,412,0,0,0,0,0,0,0,no
145,39,157,9,64,1,1,1,0,8,1,0,yes
412,421,84,58,145,0,1,1,1,5,2,1,no
3,39,64,85,51,1,0,0,0,6,1,1,yes
91,3,81,421,164,0,0,0,0,4,1,0,no
8,203,12,39,518,1,1,1,1,7,2,1,yes
81,39,127,45,64,0,1,1,0,8,2,0,yes
76,201,518,236,157,1,0,0,0,4,1,0,no
12,64,157,429,58,1,0,0,0,0,0,0,no
39,145,518,113,3,0,1,1,0,4,1,0,yes
81,266,127,13,555,1,1,1,1,9,4,1,yes
22,142,79,223,39,0,0,0,0,3,0,0,no
76,238,12,83,236,1,0,0,0,9,0,1,yes
64,145,91,201,150,0,1,1,1,6,3,1,no
60,3,91,429,107,1,1,0,1,10,3,1,yes
127,67,8,267,121,0,0,1,0,1,1,0,no
518,64,201,39,81,0,1,1,1,6,2,1,yes
157,236,9,59,8,1,0,0,0,0,2,0,no
110,421,24,79,142,0,1,1,0,7,2,0,yes
9,59,157,55,498,1,0,0,0,0,0,0,no
67,518,24,39,9,0,1,0,1,10,2,1,yes
21,7,58,254,81,1,0,1,0,3,2,0,no
8,81,3,80,91,1,1,0,0,3,0,0,no
266,30,145,9,39,0,0,1,1,10,2,1,yes
517,84,81,3,64,1,0,1,0,5,1,0,yes
39,74,67,56,25,0,1,0,0,1,1,0,no
245,119,58,421,16,0,1,0,0,1,0,0,no
120,64,145,412,8,1,0,1,0,4,3,0,yes
142,92,157,59,78,1,0,1,0,7,2,0,yes
429,12,27,76,13,0,1,0,0,1,0,0,no
12,236,24,142,79,0,0,1,0,4,2,0,no
3,429,266,85,127,1,1,0,0,4,2,0,yes
81,5,223,7,126,0,0,1,0,2,2,0,no
236,164,72,517,3,1,1,0,1,9,1,1,yes
3,24,517,81,5,0,0,1,1,9,4,3,yes
84,126,79,201,110,1,1,0,0,8,2,0,no
142,3,421,81,39,0,1,0,1,3,2,1,yes
64,79,412,119,24,1,0,1,0,2,1,0,no
412,39,13,517,429,0,0,0,0,2,0,0,no
89,67,142,203,78,1,1,1,0,6,2,0,yes
236,40,13,59,83,0,0,1,0,3,2,0,no
201,104,8,429,517,1,1,0,1,8,1,1,yes
201,28,145,126,8,1,1,0,0,2,0,0,no
113,111,222,517,41,0,0,1,1,9,2,1,yes
58,12,60,245,222,0,1,0,0,4,1,0,no
78,134,79,81,421,1,0,1,1,9,3,1,yes
429,142,8,64,12,1,0,0,1,7,3,1,yes
517,59,145,267,126,0,1,1,0,7,1,0,no
81,56,8,126,43,0,0,1,0,4,2,0,no
13,64,83,145,223,1,1,0,1,9,2,1,yes
3,81,203,8,39,0,1,0,1,8,2,1,yes
421,58,412,67,127,1,0,1,0,3,1,0,no
142,145,64,9,90,0,0,1,1,9,1,2,yes
40,60,67,157,126,1,1,0,0,11,2,0,no
59,98,67,58,142,0,1,0,0,4,2,0,no
13,39,5,81,12,1,0,1,1,7,2,1,yes
8,236,78,59,157,1,0,0,0,1,0,0,no
266,13,79,3,81,0,1,1,0,2,1,0,yes
76,24,22,91,40,1,0,0,1,10,1,1,yes
429,412,127,421,39,0,1,1,0,4,2,0,no
23,145,91,12,92,0,0,0,1,10,2,1,yes
13,240,3,115,107,1,1,1,0,4,1,0,no
24,203,127,236,555,1,1,1,0,5,2,0,yes
12,164,28,145,238,0,0,0,0,0,0,0,no
421,145,112,68,12,0,1,1,1,8,3,1,yes
39,28,81,555,92,1,0,0,0,5,2,1,no
3,238,145,56,517,0,1,1,1,9,4,1,yes
12,92,222,142,64,1,0,0,0,6,1,1,no
85,245,429,412,421,1,1,1,1,10,3,1,yes
33,64,134,145,12,0,0,0,0,0,0,0,no
163,39,14,110,201,0,0,0,0,1,0,0,no
107,141,142,223,15,1,1,1,0,3,2,0,yes
92,50,203,145,412,1,1,1,0,4,2,0,no
3,8,164,67,517,0,0,0,1,10,1,2,yes
58,39,30,51,12,1,1,1,1,11,1,1,yes
92,64,84,236,40,0,0,0,0,1,1,0,no
429,16,127,64,517,0,1,1,0,3,3,0,no
163,145,40,238,107,1,0,0,1,6,1,2,yes
13,5,142,498,497,0,1,1,0,5,2,0,no
39,69,3,164,8,1,0,0,1,11,2,2,yes
126,13,12,421,145,1,1,0,0,2,0,0,no
517,25,68,64,119,0,0,1,1,9,3,1,yes
236,2,126,412,8,0,0,0,0,2,0,0,no
64,51,13,39,9,1,1,1,0,5,4,0,yes
81,51,25,39,8,0,0,0,0,0,0,0,no
145,266,64,517,79,1,1,1,0,4,1,0,yes
157,203,13,110,201,1,0,0,0,3,1,0,yes
74,127,98,83,421,0,1,1,0,5,2,0,no
157,555,429,8,121,0,0,0,0,1,1,0,no
22,223,421,127,13,1,1,1,1,11,2,1,yes
145,157,60,12,39,0,0,0,0,1,1,0,no
127,79,126,121,67,1,1,1,1,5,1,1,yes
145,6,79,157,98,1,1,1,1,11,2,1,yes
81,91,30,24,497,0,0,0,0,3,1,0,no
157,8,39,555,79,1,1,0,1,9,1,1,yes
81,80,163,114,12,0,0,1,0,3,1,1,no
145,3,2,517,85,1,1,1,1,11,4,1,yes
76,81,79,13,555,0,0,0,0,1,0,0,no
126,38,56,498,3,0,0,1,1,10,1,2,yes
64,83,127,202,12,1,1,0,0,4,2,0,no
3,81,163,39,64,1,1,1,0,9,4,0,no
11,127,8,236,25,0,0,0,1,9,2,2,yes
39,76,3,15,83,0,1,0,1,8,1,1,yes
429,92,12,60,114,1,0,1,0,3,1,0,no
28,236,126,12,42,0,0,0,0,1,0,0,no
517,30,59,3,51,1,1,1,0,3,3,0,yes
126,9,30,145,6,0,0,0,0,1,0,0,no
69,517,268,429,59,1,1,1,1,8,2,1,yes
67,24,26,79,157,1,0,0,0,7,1,0,yes
238,16,76,81,39,0,1,1,1,4,2,1,no
114,64,103,25,498,1,1,1,0,4,1,0,yes
9,92,8,517,157,0,0,0,0,0,1,0,no
79,517,157,92,3,1,0,1,0,2,1,0,no
